,Climate,LULC,Natu.range,Nat.range,Uses,MRT,Nat.con.,Seed,Height,GF
Cosmos_sulphureus,8,17,111,1,5,70,0,0.3634,0.0354,Herb
Cotula_australis,1,1,74,5,0,52.35,1,-0.4006,-0.4921,Herb
Crassocephalum_crepidioides,4,9,96,8,3,78,0,-0.3808,-0.0288,Herb
Crepis_sancta,3,11,9,5,0,87,1,-0.3908,-0.4211,Herb
Crotalaria_incana,2,2,50,14,1,184,45,0.408,-0.0805,Herb
Crotalaria_micans,1,3,28,7,3,107.65,45,0.387,-0.3939,Shrub
Croton_bonplandianus,2,7,44,3,9,101,4,0.4602,0.6441,Herb
Croton_hirtus,1,3,10,7,0,6,4,0.07,-0.0785,Herb
Cryptostegia_grandiflora,2,5,104,1,3,171,0,-0.6856,-0.5067,Vine
Cryptostegia_madagascariensis,2.05,3.15,35,1,2,125.05,0,-0.7663,-0.7021,Vine
Cupressus_arizonica,1.85,2.75,15,3,10,62,2,-0.5683,0.4885,Tree
Cuscuta_campestris,3.4,1,148,10,0,41,3,-0.9999,-0.8388,Vine
Cyanus_segetum,4.25,6.55,114,7,3,121.55,0,0.0733,-0.1593,Herb
Cyclospermum_leptophyllum,1.95,1,146,10,0,87.55,0,-0.3786,-0.27069,Herb
Cymbalaria_muralis,3.6,4,169,2,1,98.95,0,-0.3871,-0.4312,Herb
Cyperus_alternifolius,1,1,29,7,0,0,36,-0.378,0.4317,Herb
Cyperus_involucratus,4.85,6.2,133,7,2,104.6,36,-0.4009,1.0499,Herb
Cyperus_papyrus,2.35,4.8,25,8,2,63,36,-0.3925,2.7624,Herb
Cytisus_hirsutus,2.516666667,3.777272727,3,6,0,42.9,0,0.2072,-0.0193,Herb
Cytisus_multiflorus,2.2,6.05,16,1,1,100.6333333,0,-0.5723,-0.3939,Shrub
Cytisus_proliferus,1.6,5.25,13,1,1,102.5333333,0,0.4081,-0.1907,Shrub
Cytisus_scoparius,1,2,111,6,8,72,0,-0.4059,-0.3939,Shrub
Dalbergia_melanoxylon,2,5,5,6,2,2,18,0.1403,-0.909,Tree
Datura_ferox,1,1,94,1,2,211,0,1.256,0.3803,Herb
Datura_innoxia,4,5,138,7,3,130,0,0.9548,0.076,Herb
Datura_stramonium,9,17,327,1,3,164,0,0.5196,0.4006,Herb
Daucus_carota,9,10,176,11,4,164,0,-0.292,-0.0785,Herb
Delonix_regia,6,14,69,1,18,192,1,3.3115,-0.0232,Tree
Desmanthus_virgatus,2,2,53,8,1,154,0,0.0733,-0.0785,Herb
Desmodium_scorpiurus,1.65,2,13,5,0,27.95,3,-0.1487,-0.06452,Herb
Desmodium_tortuosum,2,3,66,9,1,86.95,3,-0.0941,1.653,Herb
Desmodium_uncinatum,2.65,4.95,16,4,1,116,3,0.1458,0.4818,Herb
Dianthus_barbatus,3,14,89,7,1,160,9,-0.2837,-0.2385,Herb
Digitalis_purpurea,2,2,116,5,3,83,0,-0.3979,0.1977,Herb
Digitaria_eriantha,3.75,5.2,77,2,5,100.5,15,-0.3094,-0.0766,Herb
Dillenia_suffruticosa,1,1,4,1,1,5,2,-0.5579,-1.6034,Tree
Dimorphotheca_pluvialis,3.25,5.55,5,1,2,112.8,0,-0.0941,-0.0568325,Herb
Diodella_teres,2.4,3.4,7,12,0,72.55,0,0.3523,-0.4096,Herb
Diplotaxis_muralis,4.7,4.65,138,7,1,88.825,0,-0.3781,-0.4515,Herb
Dolichandra_unguis-cati,2.65,4.4,62,7,2,135.5,0,1.6866,1.0561,Vine
Dorstenia_contrajerva,2.85,5.6,2,5,2,103.35,0,-0.2578,-0.03252,Herb
Drymaria_cordata,5,6,52,6,1,121,0,-0.3853,-0.261535,Herb
Duranta_erecta,8,18,54,7,2,122,0,2.3582,0.068,Shrub
Dysphania_ambrosioides,4,10,255,10,11,118,0,-0.3682,-0.1107,Herb
Echinochloa_crus-galli,5,3,272,1,3,164,4,-0.2391,-0.1066,Herb
Echinochloa_crus-pavonis,3.85,5.6,58,19,3,99.35,4,-0.3512,-0.008435,Herb
Eclipta_prostrata,7,14,87,13,1,190,0,-0.3563,0.2183,Herb
Ehrharta_erecta,2.1,3.377272727,35,6,6,73.8,0,-0.3121,-0.0051,Herb
Eichhornia_crassipes,6,16,216,2,4,68,0,-0.3586,-0.2217,Herb
Emex_australis,4.2,5.35,75,1,1,112.9,0,-0.3202,-0.06515,Herb
Emex_spinosa,1.816666667,2.1,18,5,2,49.5,0,0.5531,0.1886825,Herb
Eragrostis_curvula,1.55,1,120,3,3,7,16,-0.3842,-0.2064,Herb
Eragrostis_superba,1.85,2,22,5,5,62.4,16,-0.2614,-0.2989,Herb
Eragrostis_tef,3.55,4.7,33,1,3,131,16,-0.373,0.063,Herb
Eremochloa_ophiuroides,1.35,1.4,14,3,5,30.45,0,-0.2826,-0.4743,Herb
Erigeron_annuus,2,3,116,5,1,71,5,-0.402,0.0586,Herb
Erigeron_bonariensis,5,5,234,4,2,134,5,-0.3953,-0.1675,Herb
Erigeron_canadensis,7,8,272,10,5,135,5,-0.4009,-0.2987,Herb
Erigeron_sumatrensis,3,3,40,3,0,73,5,-0.4031,-0.11562,Herb
Eriochloa_fatmensis,2.45,2.55,3,7,0,55.7,1,-0.3134,-0.208,Herb
Eryngium_foetidum,3,4,18,6,1,71,1,-0.3661,-0.3095,Herb
Eucalyptus_camaldulensis,2,2,62,1,10,96,0,-0.6219,2.6384,Tree
Eucalyptus_globulus,2,3,78,1,16,89,0,-0.5897,2.1009,Tree
Eugenia_uniflora,2,2,63,3,9,94.3,0,1.8597,-0.5865,Tree
Eupatorium_capillifolium,2.1,3.25,11,5,0,49.75,1,-0.383,0.1977,Herb
Euphorbia_cyathophora,3.6,3,155,10,2,42,19,0.3043,0.2383,Herb
Euphorbia_heterophylla,5,15,115,10,1,104,19,0.2407,0.076,Herb
Euphorbia_hirta,8,14,181,10,1,192,19,-0.3975,-0.3704,Herb
Euphorbia_hypericifolia,5,5,45,9,4,182,19,-0.363,-0.3877,Herb
Euphorbia_hyssopifolia,3.633333333,5.85,52,10,1,94.5,19,-0.2413,0.3195,Herb
Euphorbia_mauritanica,2.55,6.2,2,1,1,116.2666667,19,-0.4352,-0.702882,Shrub
Euphorbia_prostrata,4,4,191,10,1,75,19,-0.39,-0.5022,Herb
Euphorbia_serpens,4,7,59,13,0,55,19,-0.3159,-0.4515,Herb
Falcataria_moluccana,1.8,3.45,45,2,15,72.3,0,-0.4215,0.7035,Tree
Flaveria_bidentis,2.5,3.85,22,3,1,80.1,0,-0.383,0.2888,Herb
Flaveria_trinervia,2.65,3.05,76,9,0,56,0,-0.3507,-0.2283,Herb
Gaillardia_aristata,2.666666667,2.4,23,5,1,64.4,0,1.3453,-0.0785,Herb
Galinsoga_parviflora,11,16,280,8,5,99,0,-0.3819,-0.3298,Herb
Galinsoga_quadriradiata,2,2,183,1,3,53,0,-0.3786,-0.3947,Herb
Genista_canariensis,2.65,6.65,3,1,0,122.8333333,0,-0.5564,-0.6249,Shrub
Genista_monspessulana,1,1,75,5,2,76.05,0,-0.3983,-0.6249,Shrub
Glandularia_aristigera,3,2.6,42,3,0,56.85,0,-0.2994,-0.208,Herb
Glebionis_coronaria,8,9,71,5,1,87,0,-0.1833,-0.3298,Herb
Gliricidia_sepium,4,7,27,2,16,116,0,0.3537,0.4683,Tree
Gloxinia_perennis,1,1,4,3,1,7,0,-0.4059,-0.3852675,Herb
Gnaphalium_purpureum,2.55,4,48,12,0,64,0,-0.4023,-0.3501,Herb
Gomphocarpus_fruticosus,1,1,71,5,0,39.3,0,0.417,-0.2486,Herb
Gomphocarpus_physocarpus,2,4,75,2,4,7,0,0.0778,0.6441,Herb
Gomphrena_celosioides,3.233333333,8,90,3,1,75,0,-0.0829,0.46773,Herb
Guizotia_abyssinica,2,4,38,1,4,210,0,-0.0941,0.3882,Herb
Habranthus_tubispathus,2.3,2.55,12,2,0,52.8,0,-0.2079,0.03043,Herb
Hakea_salicifolia,1.55,4.5,17,1,3,86.53333333,0,0.0887,0.177816667,Shrub
Hardenbergia_comptoniana,2.35,2.7,5,1,0,71.1,0,0.685,-0.8541,Vine
Hedera_helix,2,3,87,8,3,135,2,-0.1435,1.1049,Vine
Helianthus_annuus,11,18,108,8,9,165,0,-0.0818,1.653,Herb
Heliotropium_curassavicum,2,2,111,11,2,168,5,-0.238,-0.2764,Herb
Heliotropium_indicum,6,12,105,3,2,173,5,0.022,0.1166,Herb
Hemerocallis_fulva,4,9,110,4,2,170,0,2.7065,-0.0559,Herb
Hibiscus_cannabinus,3,1,19,6,3,173,8,2.3941,1.4557,Herb
Hibiscus_trionum,2,3,154,15,1,164,8,0.0175,-0.3196,Herb
Hippobroma_longiflora,2.2,2.7,49,1,1,40,0,-0.3987,-0.2879575,Herb
Hydrangea_macrophylla,4,8,36,1,2,8,6,-0.8349,-0.6249,Shrub
Hypochaeris_glabra,1,1,128,8,0,150,0,-0.3295,-0.5327,Herb
Hypochaeris_radicata,3.8,4.3,190,9,2,71,0,-0.3172,-0.5327,Herb
Hyptis_capitata,1,1,24,5,0,140,0,-0.3507,0.023375,Herb
Hyptis_pectinata,2,4.05,51,5,0,82.75,0,-0.8326,-0.469,Shrub
Impatiens_walleriana,1,2,102,2,3,3,203,-0.3585,-0.2679,Herb
Imperata_cylindrica,7,10,50,21,6,71,0,-0.3942,0.4412,Herb
Indigofera_arrecta,3.95,7.7,3,8,3,135.95,32,-0.6671,-0.3939,Shrub
Indigofera_spicata,3,3,36,8,6,75,32,-0.3484,-0.0701,Herb
Ipomoea_hederifolia,6,14,44,9,1,181,12,-0.5168,-0.2137,Vine
Ipomoea_mauritiana,3,5,13,20,2,212,12,0.8854,1.60465,Vine
Ipomoea_muricata,5,4,43,1,1,210,12,-0.507,0.623835,Vine
Ipomoea_parasitica,2,3,10,3,0,51,12,-0.1368,0.47,Vine
Ipomoea_quamoclit,8,15,86,3,1,184,12,-0.1279,0.995065,Vine
Ipomoea_rubriflora,1,1,35,1,0,75.65,12,-1.0287,0.216375,Vine
Ipomoea_triloba,3,6,70,4,1,131,12,-0.5231,0.454985,Vine
Iris_domestica,2,1,42,3,5,72,13,2.8272,-0.4109,Herb
Iris_pallida,2.8,4.6,15,1,2,122.25,13,2.0559,-0.2486,Herb
Iris_spuria,3.55,4.85,7,13,1,144,13,2.3818,-0.208,Herb
Jatropha_curcas,5,7,96,5,13,211,0,4.5043,-0.5865,Tree
Jatropha_gossypiifolia,7,12,60,7,6,246,0,1.7707,1.3769,Shrub
Kalanchoe_blossfeldiana,1,1,13,1,3,0,5,-0.4054,-0.3886,Herb
Lagenaria_siceraria,4,6,63,1,4,7,0,0.6104,-0.7648,Vine
Lagurus_ovatus,3.95,5.3,68,7,1,97.45,0,-0.3484,-0.4196,Herb
Lantana_camara,8,20,206,5,9,193,1,0.0075,-0.163,Shrub
Lathyrus_odoratus,2.85,3.1,39,1,2,98.5,5,2.3721,-0.7607,Vine
Launaea_intybacea,2.75,2.977272727,3,6,0,51,2,-0.3362,-0.11904,Herb
Lavandula_angustifolia,3,2,8,2,1,1,2,-0.782,-1.1423,Shrub
Lemna_perpusilla,1,1,7,5,5,1,5,-0.4001,-0.3256075,Herb
Lepidium_didymum,3,3,234,4,0,113,5,-0.3507,-0.4515,Herb
Lepidium_sativum,6,6,73,5,2,173,5,-0.1722,-0.3622,Herb
Lepidium_virginicum,3.2,4,168,11,7,68,5,-0.3507,-0.2486,Herb
Leucaena_diversifolia,1.65,3.4,4,2,12,61.62916667,0,-0.363,-1.0828,Tree
Leucaena_leucocephala,6,11,223,2,27,175,0,1.4406,1.1305,Shrub
Leucanthemum_vulgare,7,6,186,6,1,84,0,-0.3604,-0.4109,Herb
Lolium_temulentum,1,2,173,1,4,157,2,0.5531,-0.0376,Herb
Lonchocarpus_sericeus,3.2,4.1,1,10,1,153.5,0,1.1004,-1.4126,Tree
Ludwigia_erecta,1.9,3.05,17,8,0,55.75,4,-0.3975,0.1603225,Herb
Ludwigia_hyssopifolia,1,4,30,18,0,75,4,-0.3931,0.1328,Herb
Ludwigia_peruviana,2,2,43,7,1,7,4,-0.3998,-0.2089625,Herb
Lupinus_perennis,2.966666667,2.1,3,4,1,69.85,0,2.0594,-0.0863,Herb
Lupinus_pilosus,2.55,4.2,2,2,1,82.95,0,0.0386,0.2168,Herb
Lysiloma_latisiliquum,1,2,32,4,2,58.55,0,-0.4086,0.501,Tree
Macroptilium_atropurpureum,1,4,106,7,2,41,0,-0.4667,-0.6593,Vine
Macroptilium_lathyroides,2,3,71,6,1,186,0,-0.7477,0.966515,Vine
Maesopsis_eminii,1,1,3,5,3,34,0,-0.2858,3.5457,Tree
Malachra_capitata,2,5,38,6,1,75,0,0.0064,0.098736667,Herb
Malva_parviflora,2,3,208,7,3,220,3,-0.0271,-0.0457,Herb
Malvastrum_coromandelianum,6,7,137,8,0,118,0,-0.2391,-0.2486,Herb
Martynia_annua,4,7,48,3,1,121,0,-0.092305,0.3075,Herb
Mecardonia_procumbens,3,5,50,9,0,122,0,-0.4058,0.048575,Herb
Medicago_polymorpha,3.4,1,245,11,3,169,6,0.0156,-0.4718,Herb
Medicago_sativa,9,5,316,15,2,164,6,-0.1599,-0.0785,Herb
Melaleuca_quinquenervia,5,10.65,19,3,19,117.25,0,-0.643,0.2735,Tree
Melianthus_major,3.05,6.3,19,1,1,169,0,0.806,0.358301667,Shrub
Melinis_minutiflora,2.7,2.9,111,8,1,20,0,-0.3942,-0.208,Herb
Melinis_repens,2,5,177,11,7,133,0,-0.354,0.089,Herb
Melochia_pyramidata,1,1,32,8,0,123.55,2,-0.7573,-0.060197083,Shrub
Merremia_dissecta,1.7,2.65,37,7,1,7,3,-0.2227,-0.100845,Vine
Mikania_cordata,2.05,4.45,13,6,1,119,0,-1.0275,0.63547,Vine
Mikania_micrantha,3,6,42,7,6,136,0,-1.0275,0.8381,Vine
Mimosa_invisa,2.75,3.3,14,3,11,73,2,-0.8122,-0.7802,Vine
Mimosa_pigra,2.9,7.5,44,14,0,124.5,2,0.0602,-0.0244,Shrub
Mirabilis_viscosa,2.416666667,3.25,1,2,0,67.35,1,0.2869,0.20087,Herb
Mitracarpus_hirtus,2,2,40,7,0,52,0,-0.3931,0.053605,Herb
Morus_alba,4,13,147,1,4,175,3,-0.5579,-0.049,Tree
Muntingia_calabura,5,15,53,4,19,117,0,-0.6432,-0.3177,Tree
Narcissus_tazetta,4,8,41,8,2,89,0,0.1213,-0.2486,Herb
Nasturtium_officinale,3,6,216,11,2,61,1,-0.3842,-0.2486,Herb
Neptunia_plena,1,1,28,8,1,48.05,1,0.4415,0.425405,Herb
Nicandra_physalodes,8,11,198,1,4,195,0,-0.306,-0.2973,Herb
Nicotiana_glauca,2,2,181,2,9,47,0,-0.8337,-0.3939,Shrub
Nicotiana_plumbaginifolia,4,4,42,5,3,146,0,-0.404,-0.05059,Herb
Oenothera_biennis,4,4.077272727,146,6,2,74,0,-0.3618,0.2383,Herb
Oenothera_drummondii,2.3,3.55,29,3,1,54.825,0,-0.3842,0.09561,Herb
Oenothera_laciniata,2.25,2.4,36,5,0,73.25,0,-0.3618,-0.15295,Herb
Oenothera_rosea,3,4,100,4,1,89,0,-0.3987,-0.4677,Herb
Oenothera_stricta,2.75,3.65,90,1,0,60,0,-0.3618,-0.0863,Herb
Opuntia_dillenii,2.15,4,58,5,0,106,0,0.7731,0.147625,Shrub
Opuntia_monacantha,2,2,80,2,6,87,0,0.437,0.62032,Shrub
Opuntia_stricta,3,4,105,5,5,106,0,0.3195,-0.7699,Shrub
Origanum_majorana,2,2,15,1,2,1,1,-0.3072,-0.2588,Herb
Oxalis_debilis,5,3,138,5,0,101,1,-0.306,-0.4109,Herb
Pachyrhizus_erosus,1,2,30,3,2,65.3,0,1.1431,-0.7755,Vine
Panicum_maximum,3,2,233,8,6,197,8,-0.3218,-0.1204,Herb
Papaver_macrostomum,1,6,1,3,0,62,0,-0.3896,0.145165,Herb
Papaver_rhoeas,6,7,114,10,2,63,0,-0.392,-0.2486,Herb
Papaver_somniferum,8,10,144,5,2,180,0,-0.3646,0.0354,Herb
Paraserianthes_lophantha,2.75,4.95,30,2,1,163,0,-0.1991,0.007315,Tree
Parkinsonia_aculeata,4,9,96,5,15,164,0,0.3925,-0.7912,Tree
Parthenium_hysterophorus,8,12,138,7,10,61,0,-0.3395,-0.4353,Herb
Paspalum_dilatatum,4,7,189,3,4,90,2,-0.2391,-0.1269,Herb
Paspalum_distichum,3,6,86,13,6,87,2,-0.2445,-0.3506,Herb
Paspalum_notatum,1,1,57,6,4,1,2,-0.0717,-0.2961,Herb
Paspalum_plicatulum,1.6,2,33,9,2,36,2,-0.2279,0.2431,Herb
Paspalum_urvillei,3.05,5.05,104,3,4,74.55,2,-0.3172,0.8402,Herb
Passiflora_edulis,8,14,102,2,6,95,1,-0.4078,0.6885,Vine
Passiflora_foetida,6,13,108,9,4,166,1,-0.7086,-0.116,Vine
Passiflora_mollissima,2.6,2.75,18,1,2,106,1,0.1382,0.2747,Vine
Passiflora_suberosa,3.3,1,102,9,5,93,1,-0.9038,0.2747,Vine
Passiflora_subpeltata,1,3,33,4,1,71,1,0.985,-0.00324,Vine
Paulownia_tomentosa,1,2.1,42,1,8,2,0,-0.6432,0.2735,Tree
Pelargonium_zonale,2.1,2.65,19,1,4,64.3,0,0.1202,-0.3571,Herb
Pennisetum_clandestinum,1.75,1,85,4,11,24,0,-0.1632,-0.4718,Herb
Pennisetum_purpureum,2.7,3.4,132,5,9,29,0,-0.3451,1.9004,Herb
Peperomia_pellucida,5,14,67,15,2,128,1,-0.39,-0.1877,Herb
Petiveria_alliacea,1,1,6,9,1,7,0,1.1043,0.087735,Herb
Phalaris_aquatica,3.4,4.427272727,64,6,2,57.7,1,-0.2582,-0.066,Herb
Phormium_tenax,2.366666667,3.05,27,2,8,64.15,0,0.475,2.673,Herb
Physalis_angulata,6,8,176,12,3,189,1,-0.344,-0.204,Herb
Physalis_heterophylla,3.05,4.9,36,8,1,95.075,1,-0.1807,-0.0051,Herb
Physalis_lagascae,3,2,10,3,0,164,1,-0.313,-0.1269,Herb
Physalis_peruviana,6,8,131,2,6,221,1,-0.791,-0.8453,Shrub
Physalis_pruinosa,2.6,3.25,10,2,0,66.3,1,-0.3139,-0.0863,Herb
Phytolacca_dioica,1.75,3.05,35,3,1,56,1,-0.58,-0.16547,Tree
Phytolacca_octandra,2.9,4.9,51,5,2,57,1,0.128,0.2383,Herb
